actor,air_time_in_minutes
Sanjay Mishra,343
Benedict Cumberbatch,340
Prasad Oak,340
Keerthi Suresh,338
Chay Akkineni,338
Vijay Devarakonda,338
Karamjit Anmol,338
Cameron Boyce,337
Djimon Hounsou,336
Nithin Sathya,336
Michael Peña,330
Vijay,328
Sayyeesha,328
Bomman Irani,328
Diego Luna,328
Naseeruddin Shah,327
TNR,326
Jeremy Renner,326
Esther Anil,325
J.K. Simmons,324
Srikanth Murali,322
Sreenath Bhasi,322
Aju Varghese,322
Pauly Wilson,322
Priyanka Nair,322
Chithra,322
Kainakary Thankaraj,322
KPAC Lalitha,322
Neslin,322
Anoop Menon,322
Johny Antony,322
Vijay Babu,322
Kiran Aravindhakshan,322
Maniyan Pillai Raju,322
Manju Pillai,322
Rebecca Ferguson,320
Cut the Rope,318
Kathir,318
Luke Perry,317
Adam Johnson,317
Jasen Wade,316
Gautami,316
Jonathan Groff,315
Angelina Jolie,315
Katrina Kaif,314
Jacqueline Fernandez,314
Elle Fanning,313
Mackenzie Foy,312
Srinidhi Shetty,310
Aadhi Pinisetty,310
Jayasurya,309
Asha Sarath,309
John Rhys-Davies,309
Deepika Padukone,307
Vamsi Krishna,306
Shahid Kapoor,306
Ananya,306
Murali Gopy,304
Sanjeev Vatsa,304
Amit Gaur,304
Yash Raaj Singh,304
Soni Razdan,304
Dipannita Sharma,304
Sharwanand,304
Mashhoor Amrohi,304
Arif Zakaria,304
Don Cheadle,302
Ankush Hazra,300
Raadhika Sarathkumar,300
Vivan Bhatena,300
Mrunal Thakur,300
Daveed Diggs,300
Kiara Advani,300
Vishal,299
Kumud Mishra,299
Naga Chaitanya,299
Arbaaz Khan,297
Ileana D’Cruz,297
Saiee Manjrekar,297
Kichcha Sudeepa,297
Pratik Gandhi,296
Abhirami,296
Amit Sadh,296
Prakash Belawadi,296
Baby Nainika,295
Raj B Shetty,295
Sathyan,294
Fawad Khan,294
Shah Rukh Khan,294
Kamal Haasan,293
Josh Gad,293
Dinesh Ravi,292
Deepti Sati,292
Bose Venkat,292
Nikhil Siddharth,291
Baby Monica,290
Ameya Mathew,290
Shraddha Srinath,290
R. Sarathkumar,289
Leigh-Allyn Baker,289
Venkatesh,289
Anthony Mackie,288
Sebastian Stan,288
John Abraham,288
Varun Tej,288
Soumitra Chatterjee,287
Samantha Ruth Prabhu,287
Unni Mukundan,287
Alexander Babu,286
Yagna Shetty,286
Sayyeshaa,286
Bhumika Chawla,286
Devika Daftardar,285
Aamani,285
Shiva,285
Dia Mirza,284
Taapsee Pannu,284
Dr. Anil Rastogi,284
Maya Sarao,284
Naila Grewal,284
Tanvi Azmi,284
Ratna Pathak Shah,284
Purenendu Bhattacharya,284
Bhavesh Babani,284
Sandeep Yadav,284
Sushil Dahiya,284
Kunal Kapoor,284
Niddhi Uttam,284
Raadhika,284
Harshh A. Singh,284
Sonu Sood,284
Pasupathy,284
Pavail Gulati,284
Gracy Bitin Goswami,284
Siddhant Mahesh Karnick,284
Ankur Rathee,284
Geetika Vidya,284
Manju Gupta,284
Rohan Khurana,284
Sasikumar,283
Jayaprakash,281
Ranveer Singh,281
Nora Fatehi,280
Julie Van Lith,280
Noah Schnapp,280
Anushka Sharma,278
Shruti Sharma,278
Aishwarya Devan,277
Raai Laxmi,277
Hussain Dalal,277
Eusebio Arenas,276
Benjamín Vicuña,276
Roberto Farías,276
Murali Sharma,276
Victor Montero,276
Diego Ruiz,276
Mateo Iribarren,276
Amparo Noguera,276
Francisca Gavilán,276
Rajisha Vijayan,276
Posani Krishna Murali,274
Suman,274
Navneet Nishan,274
Anjana Sukhani,274
Samantha,273
Angad Bedi,273
Nushrratt Bharuchaa,272
Neha Dhupia,271
Udhayanidhi Stalin,271
Trupti Khamkar,271
Jangiri Madhumitha,271
Sabrina Glow,271
Sara Ali Khan,270
Alicia Silverstone,270
Johny Lever,270
Anil Dhawan,270
Bharti Achrekar,270
Javed Jaffery,270
Shikha Talsania,270
Livingston,270
Swapnil Joshi,269
Sshivada,269
Charle,268
Mohan Joshi,268
Joey Lawrence,268
Trisha,267
Sharat Saxena,266
Saurabh Shukla,266
Siddharth,266
Arshad Warsi,266
Divya Dutta,266
Lavanya Tripathi,266
Saswata Chatterjee,266
Parvathy Thiruvothu,265
Pranitha,265
Vijay Vasanth,265
Dev Kharoud,264
Tarhun,264
Seerat Kapoor,264
Vaibhav,264
Anandraj,263
Krishna,263
Sampath,262
Yashpal Sharma,261
Payal Rajput,261
Dev Gill,261
Riki Lindhome,260
Christopher Plummer,260
Katherine Langford,260
Toni Collette,260
Jamie Lee Curtis,260
Don Johnson,260
Michael Shannon,260
Lakeith Stanfield,260
Hebah Patel,260
Daniel Craig,260
Ana De Armas,260
Ben Mendelsohn,260
Shibani Dandekar,259
Renji Panicker,259
Zoë Saldana,259
Bradley Cooper,259
Aravind Akash,259
Sunaina,259
Vani Bhojan,259
Aruna Irani,259
Vin Diesel,259
Murali Krishna,258
Alanna Ubach,258
Kamalesh,258
Johnsi,258
Jaime Camil,258
Jaswinder Bhalla,256
Mandy Takhar,256
Ben Kingsley,256
Noel Sean,256
Poornima Bhagyaraj,256
Vedhika,255
Ineya,255
Annu Kapoor,255
Taran Bajaj,254
R. Madhavan,254
Bridget Nelson,254
Vivek Prasanna,254
Soubin Shahir,254
